Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 read 8192k 4 895147 109 36364.846875 10485760 11714
bench-node4 read 8192k 8 979519 119 64686.524219 10485760 10705
bench-node4 read 8192k 16 1094661 133 115776.292188 10485760 9579
bench-node4 read 8192k 32 1166899 142 210619.589062 10485760 8986
bench-node4 read 8192k 64 1138148 138 416087.400781 10485760 9213
bench-node4 read 8192k 128 1133105 138 846790.401562 10485760 9254
bench-node4 read 4096k 1 97244 23 42108.298246 5836800 60022
bench-node4 read 4096k 2 348595 85 23439.658203 10485760 30080
bench-node4 read 4096k 4 754316 184 21213.990234 10485760 13901
bench-node4 read 4096k 8 989969 241 31930.572266 10485760 10592
bench-node4 read 4096k 16 1106209 270 57653.137109 10485760 9479
bench-node4 read 4096k 32 1125202 274 107612.861328 10485760 9319
bench-node4 read 4096k 64 1127864 275 216648.301172 10485760 9297
bench-node4 read 4096k 128 1162758 283 414829.432812 10485760 9018
bench-node4 read 2048k 1 128198 62 15966.137573 7696384 60035
bench-node4 read 2048k 2 261190 127 15596.307422 10485760 40146
bench-node4 read 2048k 4 634808 309 12735.727930 10485760 16518
bench-node4 read 2048k 8 1047005 511 15480.050195 10485760 10015
bench-node4 read 2048k 16 1110662 542 28973.216211 10485760 9441
bench-node4 read 2048k 32 1128228 550 56571.350977 10485760 9294
bench-node4 read 2048k 64 1116694 545 110372.434375 10485760 9390
bench-node4 read 2048k 128 1140996 557 215293.064453 10485760 9190
bench-node4 read 1024k 1 114638 111 8923.709437 6879232 60008
bench-node4 read 1024k 2 205744 200 9780.968652 10485760 50965
bench-node4 read 1024k 4 427815 417 9440.755566 10485760 24510
bench-node4 read 1024k 8 893621 872 9064.642969 10485760 11734
bench-node4 read 1024k 16 1011260 987 15996.274707 10485760 10369
bench-node4 read 1024k 32 1052153 1027 30780.875000 10485760 9966
bench-node4 read 1024k 64 1066384 1041 59715.648340 10485760 9833
bench-node4 read 1024k 128 1068775 1043 115890.173437 10485760 9811
bench-node4 read 512k 1 85390 166 5987.318477 5123584 60002
bench-node4 read 512k 2 166835 325 6128.926047 10011136 60006
bench-node4 read 512k 4 318628 622 6292.614990 10485760 32909
bench-node4 read 512k 8 690625 1348 5732.161963 10485760 15183
bench-node4 read 512k 16 1114439 2176 7089.566406 10485760 9409
bench-node4 read 512k 32 1139508 2225 13711.806006 10485760 9202
bench-node4 read 512k 64 1187380 2319 27372.079541 10485760 8831
bench-node4 read 512k 128 1196321 2336 53417.537500 10485760 8765
bench-node4 read 256k 1 62898 245 4061.613757 3773952 60001
bench-node4 read 256k 2 121858 476 4193.173972 7311872 60003
bench-node4 read 256k 4 241640 943 4157.018286 10485760 43394
bench-node4 read 256k 8 483660 1889 4183.369629 10485760 21680
bench-node4 read 256k 16 802706 3135 5009.720874 10485760 13063
bench-node4 read 256k 32 846786 3307 9548.371533 10485760 12383
bench-node4 read 256k 64 873158 3410 18497.286694 10485760 12009
bench-node4 read 256k 128 954639 3729 34119.547827 10485760 10984
bench-node4 read 128k 1 41021 320 3111.847270 2461440 60003
bench-node4 read 128k 2 83878 655 3043.903561 5032960 60003
bench-node4 read 128k 4 171121 1336 2985.123465 10267776 60003
bench-node4 read 128k 8 358291 2799 2787.408008 10485760 29266
bench-node4 read 128k 16 633504 4949 3133.368237 10485760 16552
bench-node4 read 128k 32 815314 6369 4839.639880 10485760 12861
bench-node4 read 128k 64 846171 6610 9492.771545 10485760 12392
bench-node4 read 128k 128 853055 6664 18977.181042 10485760 12292
bench-node4 read 64k 1 23999 374 2658.464667 1440000 60002
bench-node4 read 64k 2 48687 760 2621.191447 2921408 60003
bench-node4 read 64k 4 106117 1658 2405.755342 6367360 60003
bench-node4 read 64k 8 235101 3673 2139.571851 10485760 44601
bench-node4 read 64k 16 405325 6333 2435.857831 10485760 25870
bench-node4 read 64k 32 545479 8523 3607.038202 10485760 19223
bench-node4 read 64k 64 556598 8696 7206.593652 10485760 18839
bench-node4 read 64k 128 559807 8746 14449.069745 10485760 18731
bench-node4 read 32k 1 13085 408 2437.439658 785120 60001
bench-node4 read 32k 2 27220 850 2343.528771 1633312 60002
