Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 write 2k 16 55932 27966 569.964237 3356296 60006
bench-node2 write 2k 32 58274 29137 1095.952649 3499486 60052
bench-node2 write 2k 64 55626 27813 2298.516726 3338194 60011
bench-node2 write 2k 128 52168 26084 4903.552361 3130724 60012
bench-node2 write 1k 1 10567 10567 92.509622 634037 60001
bench-node2 write 1k 2 17699 17699 111.009271 1061990 60001
bench-node2 write 1k 4 28581 28581 137.871791 1714945 60001
bench-node2 write 1k 8 34791 34791 228.086073 2087513 60001
bench-node2 write 1k 16 40960 40960 388.831132 2457711 60002
bench-node2 write 1k 32 41334 41334 772.289039 2480190 60003
bench-node2 write 1k 64 41751 41751 1530.903458 2505272 60005
bench-node2 write 1k 128 42106 42106 3037.121451 2526975 60014
bench-node3 write 8192k 1 57375 7 142758.280285 3448832 60110
bench-node3 write 8192k 2 38730 4 422996.816901 2326528 60069
bench-node3 write 8192k 4 77557 9 422478.177700 4702208 60629
bench-node3 write 8192k 8 80556 9 813298.584459 4849664 60202
bench-node3 write 8192k 16 53676 6 2414134.593220 3383296 63031
bench-node3 write 8192k 32 57517 7 4486020.207763 3588096 62383
bench-node3 write 8192k 64 77465 9 6571581.419835 4956160 63979
bench-node3 write 8192k 128 85101 10 11878589.497810 5611520 65939
bench-node3 write 4096k 1 42403 10 96581.607717 2547712 60083
bench-node3 write 4096k 2 61276 14 133670.524499 3678208 60026
bench-node3 write 4096k 4 61826 15 264971.745595 3719168 60155
bench-node3 write 4096k 8 72562 17 451515.154639 4370432 60230
bench-node3 write 4096k 16 81049 19 807329.782681 4919296 60695
bench-node3 write 4096k 32 80972 19 1609710.875103 4952064 61157
bench-node3 write 4096k 64 76406 18 3392527.929004 4730880 61917
bench-node3 write 4096k 128 76949 18 6672173.672500 4915200 63876
bench-node3 write 2048k 1 47328 23 43262.291066 2842624 60062
bench-node3 write 2048k 2 49843 24 82162.782341 2992128 60030
bench-node3 write 2048k 4 52132 25 157117.756686 3139584 60223
bench-node3 write 2048k 8 62551 30 261894.532319 3770368 60276
bench-node3 write 2048k 16 72633 35 451074.017379 4360192 60030
bench-node3 write 2048k 32 80798 39 810187.032718 4882432 60427
bench-node3 write 2048k 64 74603 36 1746454.220522 4550656 60998
bench-node3 write 2048k 128 78465 38 3304700.364446 4827136 61519
bench-node3 write 1024k 1 51674 50 19806.881440 3100672 60004
bench-node3 write 1024k 2 48864 47 41901.839791 2933760 60039
bench-node3 write 1024k 4 56994 55 71851.802808 3427328 60134
bench-node3 write 1024k 8 59106 57 138578.190147 3554304 60134
bench-node3 write 1024k 16 62280 60 263030.351654 3744768 60127
bench-node3 write 1024k 32 72550 70 450486.548606 4371456 60254
bench-node3 write 1024k 64 72223 70 904456.019645 4378624 60626
bench-node3 write 1024k 128 69616 67 1870689.883687 4243456 60955
bench-node3 write 512k 1 48047 93 10647.725142 2883584 60015
bench-node3 write 512k 2 49147 95 20826.305155 2949632 60016
bench-node3 write 512k 4 48423 94 42283.286243 2906624 60025
bench-node3 write 512k 8 55579 108 73683.766871 3338240 60062
bench-node3 write 512k 16 59106 115 138487.983706 3550720 60073
bench-node3 write 512k 32 64162 125 255308.016411 3868672 60295
bench-node3 write 512k 64 65644 128 499029.454616 3971072 60494
bench-node3 write 512k 128 85234 166 766817.221099 5164032 60586
bench-node3 write 256k 1 43135 168 5926.338113 2588672 60012
bench-node3 write 256k 2 47836 186 10694.486532 2870272 60002
bench-node3 write 256k 4 48949 191 20910.473377 2937600 60013
bench-node3 write 256k 8 51952 202 39410.379240 3117312 60003
bench-node3 write 256k 16 57670 225 71009.249797 3469056 60153
bench-node3 write 256k 32 62689 244 130651.643249 3775232 60221
bench-node3 write 256k 64 64001 250 255934.835684 3848192 60127
bench-node3 write 256k 128 64640 252 506718.561152 3893248 60229
bench-node3 write 128k 1 42978 335 2970.747973 2588672 60232
bench-node3 write 128k 2 49209 384 5194.419346 2957440 60099
bench-node3 write 128k 4 51286 400 9974.842226 3080448 60063
bench-node3 write 128k 8 24423 190 41917.312981 1480064 60600
bench-node3 write 128k 16 26170 204 78240.217678 1571200 60036
bench-node3 write 128k 32 62366 487 65660.982026 3745792 60061
bench-node3 write 128k 64 56159 438 145835.163751 3372928 60060
bench-node3 write 128k 128 60039 469 272780.980458 3628672 60438
bench-node3 write 64k 1 24383 380 2619.075070 1466368 60137
bench-node3 write 64k 2 42504 664 3005.151492 2555904 60132
bench-node3 write 64k 4 47168 737 5419.546604 2834432 60091
bench-node3 write 64k 8 48477 757 10553.609272 2910016 60028
bench-node3 write 64k 16 56836 888 18008.259526 3411264 60019
bench-node3 write 64k 32 59638 931 34321.392528 3580480 60036
bench-node3 write 64k 64 62379 974 65640.830755 3743680 60015
bench-node3 write 64k 128 64315 1004 127296.971056 3862848 60061
bench-node3 write 32k 1 47510 1484 668.713639 2850784 60003
bench-node3 write 32k 2 49015 1531 1300.380235 2944960 60082
bench-node3 write 32k 4 41707 1303 3062.496642 2506624 60100
bench-node3 write 32k 8 43714 1366 5849.236803 2622944 60002
bench-node3 write 32k 16 53404 1668 9579.823367 3204480 60004
bench-node3 write 32k 32 57466 1795 17811.002079 3448480 60009
bench-node3 write 32k 64 64213 2006 31880.422653 3853984 60018
bench-node3 write 32k 128 65962 2061 62066.839656 3959296 60023
bench-node3 write 16k 1 38253 2390 413.847465 2301904 60175
bench-node3 write 16k 2 41820 2613 760.482940 2509296 60001
bench-node3 write 16k 4 42788 2674 1490.375633 2567360 60001
bench-node3 write 16k 8 42804 2675 2984.496471 2571008 60064
bench-node3 write 16k 16 54452 3403 4695.057742 3268624 60027
bench-node3 write 16k 32 56064 3504 9124.973995 3364288 60007
bench-node3 write 16k 64 61794 3862 16561.928706 3708352 60011
