Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 randread 8192k 8 1157496 141 55863.090625 10485760 9059
bench-node3 randread 8192k 16 1173297 143 109387.008594 10485760 8937
bench-node3 randread 8192k 32 1172248 143 211185.694531 10485760 8945
bench-node3 randread 8192k 64 1174217 143 416068.069531 10485760 8930
bench-node3 randread 8192k 128 1154056 140 846040.924219 10485760 9086
bench-node3 randread 4096k 1 156504 38 26155.108591 9392128 60012
bench-node3 randread 4096k 2 237669 58 33799.373437 10485760 44119
bench-node3 randread 4096k 4 527055 128 29524.188672 10485760 19895
bench-node3 randread 4096k 8 1070412 261 29767.075781 10485760 9796
bench-node3 randread 4096k 16 1152028 281 54776.078125 10485760 9102
bench-node3 randread 4096k 32 1158007 282 107317.996875 10485760 9055
bench-node3 randread 4096k 64 1123875 274 212526.450391 10485760 9330
bench-node3 randread 4096k 128 1143859 279 426051.375781 10485760 9167
bench-node3 randread 2048k 1 117071 57 17480.744315 7024640 60003
bench-node3 randread 2048k 2 211538 103 18623.063867 10485760 49569
bench-node3 randread 2048k 4 412354 201 19542.294922 10485760 25429
bench-node3 randread 2048k 8 883532 431 16611.556055 10485760 11868
bench-node3 randread 2048k 16 1052575 513 27967.843164 10485760 9962
bench-node3 randread 2048k 32 1097410 535 55832.989844 10485760 9555
bench-node3 randread 2048k 64 1133473 553 108430.358984 10485760 9251
bench-node3 randread 2048k 128 1116218 545 214603.831055 10485760 9394
bench-node3 randread 1024k 1 68851 67 14859.119348 4144128 60189
bench-node3 randread 1024k 2 125692 122 16273.094127 7549952 60067
bench-node3 randread 1024k 4 282596 275 13790.730273 10485760 37105
bench-node3 randread 1024k 8 553659 540 12557.885938 10485760 18939
bench-node3 randread 1024k 16 1056819 1032 14752.667676 10485760 9922
bench-node3 randread 1024k 32 1015471 991 29309.790625 10485760 10326
bench-node3 randread 1024k 64 1007761 984 62083.159863 10485760 10405
bench-node3 randread 1024k 128 1062387 1037 115110.499219 10485760 9870
bench-node3 randread 512k 1 57800 112 8844.170505 3468288 60004
bench-node3 randread 512k 2 137772 269 7419.598786 8266752 60003
bench-node3 randread 512k 4 284028 554 7119.904102 10485760 36918
bench-node3 randread 512k 8 610062 1191 6573.597266 10485760 17188
bench-node3 randread 512k 16 1166639 2278 6912.318701 10485760 8988
bench-node3 randread 512k 32 1195503 2334 13590.441748 10485760 8771
bench-node3 randread 512k 64 1191563 2327 27353.031348 10485760 8800
bench-node3 randread 512k 128 1203185 2349 53872.442236 10485760 8715
bench-node3 randread 256k 1 41426 161 6167.059526 2485760 60004
bench-node3 randread 256k 2 92526 361 5520.609277 5552128 60006
bench-node3 randread 256k 4 205857 804 4896.747363 10485760 50937
bench-node3 randread 256k 8 394245 1540 5041.341797 10485760 26597
bench-node3 randread 256k 16 799036 3121 4988.515112 10485760 13123
bench-node3 randread 256k 32 924099 3609 8763.690747 10485760 11347
bench-node3 randread 256k 64 918836 3589 17733.758789 10485760 11412
bench-node3 randread 256k 128 931653 3639 34970.493091 10485760 11255
bench-node3 randread 128k 1 24407 190 5229.829663 1464576 60004
bench-node3 randread 128k 2 52907 413 4825.103504 3174528 60001
bench-node3 randread 128k 4 115838 904 4408.221093 6950784 60004
bench-node3 randread 128k 8 265321 2072 3702.288538 10485760 39521
bench-node3 randread 128k 16 573744 4482 3363.068298 10485760 18276
bench-node3 randread 128k 32 840474 6566 4707.308447 10485760 12476
bench-node3 randread 128k 64 870332 6799 9293.037744 10485760 12048
bench-node3 randread 128k 128 859840 6717 18890.225232 10485760 12195
bench-node3 randread 64k 1 12911 201 4942.370178 774720 60003
bench-node3 randread 64k 2 28287 441 4511.592081 1697280 60002
bench-node3 randread 64k 4 62299 973 4098.211710 3738240 60004
bench-node3 randread 64k 8 131688 2057 3878.498340 7901696 60003
bench-node3 randread 64k 16 298586 4665 3231.555157 10485760 35118
bench-node3 randread 64k 32 525707 8214 3650.133325 10485760 19946
bench-node3 randread 64k 64 564387 8818 7119.444971 10485760 18579
bench-node3 randread 64k 128 563447 8803 14371.363690 10485760 18610
bench-node3 randread 32k 1 7172 224 4447.653406 430336 60002
bench-node3 randread 32k 2 15022 469 4246.874858 901376 60002
bench-node3 randread 32k 4 33497 1046 3810.291712 2009984 60004
bench-node3 randread 32k 8 74236 2319 3439.797991 4454464 60004
bench-node3 randread 32k 16 162257 5070 3150.429716 9736288 60005
bench-node3 randread 32k 32 271209 8475 3514.020978 10485760 38663
bench-node3 randread 32k 64 330718 10334 6033.705655 10485760 31706
bench-node3 randread 32k 128 318029 9938 12527.227762 10485760 32971
bench-node3 randread 16k 1 2633 164 6061.992710 158016 60003
bench-node3 randread 16k 2 4181 261 7638.200982 250928 60005
bench-node3 randread 16k 4 7648 478 8340.764544 460384 60191
bench-node3 randread 16k 8 17110 1069 7458.897465 1029888 60191
bench-node3 randread 16k 16 45517 2844 5603.919768 2740256 60202
bench-node3 randread 16k 32 113674 7104 4487.095138 6843440 60202
bench-node3 randread 16k 64 172566 10785 5735.198881 10392624 60224
bench-node3 randread 16k 128 175582 10973 11253.443370 10485760 59720
bench-node3 randread 4k 1 573 143 6955.328958 34436 60002
bench-node3 randread 4k 2 1386 346 5755.621827 83200 60006
bench-node3 randread 4k 4 4388 1097 3635.174964 263300 60004
bench-node3 randread 4k 8 9112 2278 3502.911693 546772 60004
bench-node3 randread 4k 16 18635 4658 3427.787173 1118224 60005
bench-node3 randread 4k 32 31619 7904 4043.263832 1897568 60013
bench-node3 randread 4k 64 44821 11205 5705.360026 2690340 60024
bench-node3 randread 4k 128 48100 12025 10636.507619 2886724 60015
bench-node3 randread 2k 1 477 238 4170.452916 28672 60001
bench-node3 randread 2k 2 697 348 5716.803763 41878 60015
bench-node3 randread 2k 4 1184 592 6736.867722 71244 60167
bench-node3 randread 2k 8 2541 1270 6285.620457 152494 60005
bench-node3 randread 2k 16 5940 2970 5364.560473 357648 60206
bench-node3 randread 2k 32 14648 7324 4364.233459 879034 60007
bench-node3 randread 2k 64 21742 10871 5864.224886 1308964 60202
bench-node3 randread 2k 128 22264 11132 11348.516075 1353106 60774
bench-node3 randread 1k 1 97 97 10286.028747 5844 60202
bench-node3 randread 1k 2 193 193 10309.415049 11642 60198
bench-node3 randread 1k 4 811 811 4916.031373 48704 60003
bench-node3 randread 1k 8 2198 2198 3629.593408 131921 60004
bench-node3 randread 1k 16 5654 5654 2824.654045 339310 60006
bench-node3 randread 1k 32 9107 9107 3509.131628 546586 60014
bench-node3 randread 1k 64 11276 11276 5670.347249 676691 60009
bench-node3 randread 1k 128 11469 11469 11150.759907 688436 60022
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 randread 8192k 1 325948 39 25108.816406 10485760 32170
bench-node4 randread 8192k 2 653074 79 24177.690625 10485760 16056
bench-node4 randread 8192k 4 992875 121 32548.059375 10485760 10561
