Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 randwrite 2048k 1 60324 29 33935.574901 3622912 60057
bench-node3 randwrite 2048k 2 60192 29 68029.236395 3612672 60019
bench-node3 randwrite 2048k 4 59112 28 138554.336400 3561472 60249
bench-node3 randwrite 2048k 8 60732 29 269440.400672 3659776 60261
bench-node3 randwrite 2048k 16 66046 32 496025.614352 3966976 60063
bench-node3 randwrite 2048k 32 77278 37 845315.655444 4683776 60609
bench-node3 randwrite 2048k 64 73993 36 1755863.915581 4560896 61639
bench-node3 randwrite 2048k 128 78434 38 3316554.414468 4812800 61361
bench-node3 randwrite 1024k 1 66301 64 15431.369599 3981312 60049
bench-node3 randwrite 1024k 2 66589 65 30742.246863 3998720 60050
bench-node3 randwrite 1024k 4 64535 63 63449.755285 3874816 60042
bench-node3 randwrite 1024k 8 61700 60 132745.604478 3704832 60045
bench-node3 randwrite 1024k 16 67315 65 243347.031100 4049920 60163
bench-node3 randwrite 1024k 32 68616 67 477433.261569 4137984 60306
bench-node3 randwrite 1024k 64 78003 76 837891.332464 4712448 60413
bench-node3 randwrite 1024k 128 80641 78 1618556.773459 4899840 60761
bench-node3 randwrite 512k 1 73567 143 6946.504871 4414464 60006
bench-node3 randwrite 512k 2 72043 140 14200.548674 4323328 60010
bench-node3 randwrite 512k 4 74584 145 27444.985013 4475392 60004
bench-node3 randwrite 512k 8 70108 136 58407.283281 4207616 60016
bench-node3 randwrite 512k 16 67959 132 120517.286467 4078592 60015
bench-node3 randwrite 512k 32 70038 136 233878.325553 4211712 60134
bench-node3 randwrite 512k 64 81602 159 401449.214316 4899840 60045
bench-node3 randwrite 512k 128 97072 189 673674.664539 5854720 60313
bench-node3 randwrite 256k 1 76111 297 3350.863109 4566784 60001
bench-node3 randwrite 256k 2 73081 285 6992.953476 4385536 60009
bench-node3 randwrite 256k 4 72591 283 14094.027678 4356352 60012
bench-node3 randwrite 256k 8 67753 264 30213.523768 4066048 60012
bench-node3 randwrite 256k 16 71932 280 56923.780663 4318464 60035
bench-node3 randwrite 256k 32 69382 271 118040.609345 4163840 60013
bench-node3 randwrite 256k 64 72235 282 226714.449994 4336128 60028
bench-node3 randwrite 256k 128 79031 308 414409.828022 4755968 60178
bench-node3 randwrite 128k 1 46448 362 2742.916414 2787072 60003
bench-node3 randwrite 128k 2 56737 443 4499.311389 3404416 60003
bench-node3 randwrite 128k 4 54486 425 9384.083777 3269632 60008
bench-node3 randwrite 128k 8 51506 402 19868.304411 3090560 60003
bench-node3 randwrite 128k 16 46634 364 43901.895432 2799488 60031
bench-node3 randwrite 128k 32 49051 383 83454.708650 2946176 60063
bench-node3 randwrite 128k 64 48466 378 168979.383269 2910208 60046
bench-node3 randwrite 128k 128 46964 366 348694.750736 2827904 60214
bench-node3 randwrite 64k 1 28550 446 2230.220039 1713152 60005
bench-node3 randwrite 64k 2 27222 425 4688.999608 1633408 60003
bench-node3 randwrite 64k 4 23026 359 9725.447971 1655680 71904
bench-node3 randwrite 64k 8 32564 508 15711.204029 1953920 60002
bench-node3 randwrite 64k 16 23706 370 43181.606873 1422848 60020
bench-node3 randwrite 64k 32 25331 395 80828.084102 1520448 60023
bench-node3 randwrite 64k 64 22492 351 182060.456221 1358080 60378
bench-node3 randwrite 64k 128 16016 250 312204.850560 1583296 98857
bench-node3 randwrite 32k 1 14937 466 2131.446372 896544 60021
bench-node3 randwrite 32k 2 13598 424 4694.637493 816800 60064
bench-node3 randwrite 32k 4 13059 408 9789.340248 783616 60002
bench-node3 randwrite 32k 8 12254 382 20878.531680 735360 60005
bench-node3 randwrite 32k 16 11984 374 42708.065851 719200 60009
bench-node3 randwrite 32k 32 13166 411 77757.435670 796640 60506
bench-node3 randwrite 32k 64 13672 427 149752.004195 823904 60260
bench-node3 randwrite 32k 128 11276 352 363086.014037 681632 60446
bench-node3 randwrite 16k 1 7283 455 2184.599370 437152 60016
bench-node3 randwrite 16k 2 7763 485 4111.567160 465872 60005
bench-node3 randwrite 16k 4 6868 429 9308.888591 412176 60008
bench-node3 randwrite 16k 8 5994 374 21342.870703 362576 60481
